ID,Name,Date,Location,Region,Description,EventLink,Banner,Circle
75e991f8-4da9-495b-8c88-1dcb72cfe97d,RetailRevolution Expo,15/05/2024 12:00,"Revolution Hall, Retail Lane",Innovatopia,Explore the revolution in retail marketing and customer experience strategies.,https://www.event.com/75e991f8-4da9-495b-8c88-1dcb72cfe97d,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/75e991f8-4da9-495b-8c88-1dcb72cfe97d.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/75e991f8-4da9-495b-8c88-1dcb72cfe97d-s.png
31e68b71-02ec-4f9b-b8c2-af184b370b7d,InclusiveMarketing Forum,2/07/2024 14:30,"Diversity Dome, Inclusive Street",Innovatopia,Explore strategies for inclusive marketing that resonate with diverse audiences.,https://www.event.com/31e68b71-02ec-4f9b-b8c2-af184b370b7d,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/31e68b71-02ec-4f9b-b8c2-af184b370b7d.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/31e68b71-02ec-4f9b-b8c2-af184b370b7d-s.png
2f11e6d1-cb53-4e09-a3bf-168b48efcadd,GrowthHacking Symposium,10/09/2024 12:45,"Hacker's Haven, Growth Street",Innovatopia,Unlock unconventional growth strategies and hacking techniques for marketing success.,https://www.event.com/2f11e6d1-cb53-4e09-a3bf-168b48efcadd,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/2f11e6d1-cb53-4e09-a3bf-168b48efcadd.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/2f11e6d1-cb53-4e09-a3bf-168b48efcadd-s.png
e9b9fcf7-9e76-4d4a-b3cb-2f8971f2b7ac,CustomerJourney Expo,5/10/2024 13:00,"Journey Junction, CX Square",Innovatopia,Optimize customer journeys and enhance customer experience for long-term brand loyalty.,https://www.event.com/e9b9fcf7-9e76-4d4a-b3cb-2f8971f2b7ac,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/e9b9fcf7-9e76-4d4a-b3cb-2f8971f2b7ac.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/e9b9fcf7-9e76-4d4a-b3cb-2f8971f2b7ac-s.png
2a48f62f-81e9-40e8-88e8-82d0e8db4810,Innovate360 Marketing Expo,2/08/2024 10:00,"TechInnovation Hub, Innovation Avenue",AInnovate,Discover cutting-edge marketing innovations that redefine the industry.,https://www.event.com/2a48f62f-81e9-40e8-88e8-82d0e8db4810,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/2a48f62f-81e9-40e8-88e8-82d0e8db4810.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/2a48f62f-81e9-40e8-88e8-82d0e8db4810-s.png
b8049d7f-5fe7-42e8-9bf1-5a1460d29fe8,InfluencerConnection Expo,5/03/2024 13:15,"InfluenceHub Pavilion, Connect Lane",AInnovate,Forge valuable connections with influencers and elevate your brand's presence.,https://www.event.com/b8049d7f-5fe7-42e8-9bf1-5a1460d29fe8,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/b8049d7f-5fe7-42e8-9bf1-5a1460d29fe8.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/b8049d7f-5fe7-42e8-9bf1-5a1460d29fe8-s.png
e9f4e1bf-8704-498f-bb4b-fd6bbabf6bca,GlobalAd Insights Forum,5/04/2024 11:15,"CityView Convention Center, Broadway Boulevard",MobiLand,Gain valuable insights into global advertising trends and innovations.,https://www.event.com/e9f4e1bf-8704-498f-bb4b-fd6bbabf6bca,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/e9f4e1bf-8704-498f-bb4b-fd6bbabf6bca.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/e9f4e1bf-8704-498f-bb4b-fd6bbabf6bca-s.png
9a3447b8-bff4-4d1a-a2db-4d74dd2a2c53,FutureCommerce Expo,10/10/2024 14:15,"Commerce Plaza, Future Avenue",MobiLand,Explore the future of commerce and the latest e-commerce trends.,https://www.event.com/9a3447b8-bff4-4d1a-a2db-4d74dd2a2c53,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/9a3447b8-bff4-4d1a-a2db-4d74dd2a2c53.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/9a3447b8-bff4-4d1a-a2db-4d74dd2a2c53-s.png
65f1db37-3da1-4ef9-80c5-f05f1c768e43,AI in Marketing Symposium,5/11/2024 9:45,"TechInnovate Center, AI Street",MobiLand,Delve into the impact of artificial intelligence on modern marketing strategies.,https://www.event.com/65f1db37-3da1-4ef9-80c5-f05f1c768e43,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/65f1db37-3da1-4ef9-80c5-f05f1c768e43.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/65f1db37-3da1-4ef9-80c5-f05f1c768e43-s.png
5349e4f7-5716-4c3d-8a93-98a6ebec86e7,MobileMarketing Carnival,10/02/2024 11:30,"MobileSphere Expo, App Avenue",MobiLand,Navigate the ever-evolving landscape of mobile marketing strategies and technologies.,https://www.event.com/5349e4f7-5716-4c3d-8a93-98a6ebec86e7,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/5349e4f7-5716-4c3d-8a93-98a6ebec86e7.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/5349e4f7-5716-4c3d-8a93-98a6ebec86e7-s.png
cf28e5b4-cbf4-4b5b-90f2-2db27c6c6a16,EmailMarketing Mastery Summit,20/04/2024 9:30,"Inbox Innovation Center, Email Street",MobiLand,Master the art of email marketing and build effective communication strategies.,https://www.event.com/cf28e5b4-cbf4-4b5b-90f2-2db27c6c6a16,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/cf28e5b4-cbf4-4b5b-90f2-2db27c6c6a16.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/cf28e5b4-cbf4-4b5b-90f2-2db27c6c6a16-s.png
4e9ac8b2-7cd5-4911-82b7-49e45aee8f45,AugmentedReality Expo,18/08/2024 10:15,"AR Arena, Virtual Avenue",MobiLand,Dive into the world of augmented reality and its applications in marketing.,https://www.event.com/4e9ac8b2-7cd5-4911-82b7-49e45aee8f45,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/4e9ac8b2-7cd5-4911-82b7-49e45aee8f45.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/4e9ac8b2-7cd5-4911-82b7-49e45aee8f45-s.png
7d14bf37-3f33-4a4b-b9d7-8c55199e238a,VirtualReality Marketing Showcase,20/11/2024 11:00,"VirtualVista Pavilion, VR Boulevard",MobiLand,Explore the innovative use of virtual reality in marketing campaigns and brand experiences.,https://www.event.com/7d14bf37-3f33-4a4b-b9d7-8c55199e238a,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/7d14bf37-3f33-4a4b-b9d7-8c55199e238a.png,https://raw.githubusercontent.com/camrobert/SFMC-with-me/main/001-Dynamic%20Content%20Blocks/Images/7d14bf37-3f33-4a4b-b9d7-8c55199e238a-s.png
